filename,width,height,class,xmin,ymin,xmax,ymax
72a2b8f8-c7ca-4222-b2a1-9b82ac7990f4_45_jpg.rf.d17ad7cb4225bfc8720a0543682e6c22.jpg,416,416,good bean,56,1,341,397
7e2e4fb2-dc94-46c6-a203-0db83ca84e81_180_jpg.rf.d1434593c3f92ec16aafcf3b31a2f4e8.jpg,416,416,good bean,67,66,356,407
220fcc53-6ef7-45d1-8122-fa1c19ca9ec5_jpg.rf.d1d530f53100a7b2e30250ddd11df07b.jpg,416,416,good bean,23,23,398,347
a4b1b05e-8f9a-4f68-98fe-52dd9e2a9663_90_jpg.rf.d0f73198ae5125e4a9cc7d3001baf94f.jpg,416,416,bad bean,18,93,346,336
503a19e2-d693-4ab0-aae9-9181b1789a94_45_jpg.rf.d1c54eed5216cd46a09716e6d43ff95a.jpg,416,416,good bean,40,10,349,392
6b30113e-141c-4956-964b-7b64918f694b_180_jpg.rf.d19eb8f0a01feed7db1c3384aa5a99b6.jpg,416,416,bad bean,76,85,363,404
6343bade-4271-437b-84ea-e9756e715080_180_jpg.rf.d1bcd98f4e14fc62fb69c349d5638ec5.jpg,416,416,good bean,47,19,384,386
11037d07-18b3-4fc4-8025-f06dcbc0500d_270_jpg.rf.d1ac5eba1c0eba6c45ef7b989911daf4.jpg,416,416,bad bean,29,42,395,354
a36b24dc-58f1-4270-b642-3bb7ec46de0f_225_jpg.rf.d11c386eee5932f6cc1073fb5793cacf.jpg,416,416,bad bean,36,68,352,371
94a26150-c197-425f-961b-0a4ae35825cf_jpg.rf.d184f9c05b3d3ed1d24e7e353786732b.jpg,416,416,good bean,81,23,345,327
a36b24dc-58f1-4270-b642-3bb7ec46de0f_135_jpg.rf.d1c49e4c15d41dd31a6fe279ee53ab3b.jpg,416,416,bad bean,46,38,357,355
217fef04-2462-4dca-a170-f780b700b17e_45_jpg.rf.d0f4541d1bf0f8c83ea2ebfdc65ed0d6.jpg,416,416,good bean,9,52,363,402
afd44643-9287-4080-934f-7a13c66d9bfd_180_jpg.rf.d0c0f64d8d1e866a79445aed76de9a07.jpg,416,416,good bean,52,87,360,398
d6ed6d4c-2acb-4507-bc4c-70480968eacb_270_jpg.rf.d18a33ffe413b042fc10d58b308cb3c3.jpg,416,416,good bean,86,27,397,379
5064456d-d977-4c88-a2f7-613db1f3f19b_225_jpg.rf.d1a6ba43c690d67ca22c08cc1026adcb.jpg,416,416,good bean,75,73,389,379
c6d5a9cd-56bd-4e1a-9ca8-c3562c8140f8_jpg.rf.d11a09ce186f02f1b217caabb3de26b1.jpg,416,416,good bean,38,18,380,320
764af58e-c590-444a-aefd-b4bc11f74c40_270_jpg.rf.d1efc13476dd58286e6f20b9f24f021a.jpg,416,416,bad bean,37,74,409,341
9aa3d151-a2d6-4d13-ad4f-f133f4552c4f_270_jpg.rf.d20e06b39befabba64e17216bbc45974.jpg,416,416,good bean,76,48,397,375
ccd5cdb4-3df2-4b3b-833b-3bdc7d43ee4d_225_jpg.rf.d090ffe758514b53bfebb5315704336f.jpg,416,416,good bean,77,99,395,369
687de30d-714c-4d10-9b23-998af950a13a_90_jpg.rf.d1f092c1817f23696f0ff1b676323820.jpg,416,416,bad bean,10,83,408,317
bd17953c-5cc6-4fc5-8ade-fd7ece53be19_45_jpg.rf.d0a37a6a39e3c0158298c5c6667e033a.jpg,416,416,good bean,38,26,358,414
6f8a29a3-8b83-47d6-8a5b-7baf97fd4469_225_jpg.rf.d10a04d74ae8c38299c47f9e26e22644.jpg,416,416,good bean,62,101,395,362
217fef04-2462-4dca-a170-f780b700b17e_jpg.rf.d22f2bfa5306ad7fb225c8b92e990171.jpg,416,416,good bean,19,19,352,403
00a9637f-e5c9-4522-8d19-d6b3e8bae3f3_270_jpg.rf.d211f09ed9747da015283d95f8e16437.jpg,416,416,good bean,82,21,342,356
6e3c83a7-c5c6-46b5-8562-ffa8d99f4bb2_270_jpg.rf.d20033239c429b26a21d9a57601db6d5.jpg,416,416,good bean,42,20,367,332
224748bb-08de-4a59-98e5-2bbef0629846_45_jpg.rf.d2cb715f5cc3603d22dcc2029033c782.jpg,416,416,bad bean,1,23,371,365
9eaca121-9239-49f4-9d05-34ef9f10bcaa_45_jpg.rf.d288c89ffc92069439d94c1cbf3890ff.jpg,416,416,good bean,14,8,358,387
220fcc53-6ef7-45d1-8122-fa1c19ca9ec5_270_jpg.rf.d25c72d1c8c6e9124751e03746bd6d80.jpg,416,416,good bean,67,29,394,393
811f5cf3-9a05-4b39-b1b3-174f31f7cec6_135_jpg.rf.d2c5b04775659dcfc17102279fdf2722.jpg,416,416,good bean,25,40,415,390
4f08fc98-7d4d-43f7-921d-b2ccf8ca726d_270_jpg.rf.d2a5886d3985ec94d73d5eb1092f6737.jpg,416,416,bad bean,42,9,368,407
8140aed5-a61c-4048-81dc-c9e2149f60b2_270_jpg.rf.d29cf19367afe00b415fd9b3ef8e305c.jpg,416,416,good bean,17,55,404,343
fbe4f519-6225-4168-bcf9-4ccc4d0d82bf_225_jpg.rf.d37bdcd261d122307536cc941e222880.jpg,416,416,bad bean,91,63,374,383
